"","Brewery_id","Brewery_Name","City","State","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces"
"687",117,"Base Camp Brewing Co.","Portland"," OR","In-Tents India Pale Lager",2189,0.068,62,"American Pale Lager",12
"688",117,"Base Camp Brewing Co.","Portland"," OR","Hop in the ‘Pool Helles",2404,0.049,22,"American Pilsner",12
"689",117,"Base Camp Brewing Co.","Portland"," OR","Lost Meridian Wit",2188,0.05,20,"Witbier",12
"690",117,"Base Camp Brewing Co.","Portland"," OR","Ultra Gnar Gnar IPA",2323,0.067,60,"American IPA",12
"691",117,"Base Camp Brewing Co.","Portland"," OR","Celestial Meridian Cascadian Dark Lager",2187,0.051,45,"Euro Dark Lager",12
"692",118,"Alameda Brewing","Portland"," OR","Klickitat Pale Ale",2402,0.053,36,"American Pale Ale (APA)",12
"693",118,"Alameda Brewing","Portland"," OR","P-Town Pilsner",2403,0.04,20,"American Pilsner",12
"694",118,"Alameda Brewing","Portland"," OR","Yellow Wolf Imperial IPA",2401,0.082,103,"American Double / Imperial IPA",12
"695",119,"Southern Star Brewing Company","Conroe"," TX","PRO-AM (2012) (2012)",853,0.099,100,"American Double / Imperial IPA",12
"696",119,"Southern Star Brewing Company","Conroe"," TX","Red Cockaded Ale (2013)",1011,0.085,110,"American Double / Imperial IPA",12
"697",119,"Southern Star Brewing Company","Conroe"," TX","Old Potentate",1010,0.072,40,"Old Ale",12
"698",119,"Southern Star Brewing Company","Conroe"," TX","Valkyrie Double IPA",1497,0.092,100,"American Double / Imperial IPA",12
"699",119,"Southern Star Brewing Company","Conroe"," TX","Le Mort Vivant (2011)",555,0.069,23,"Bière de Garde",12
"701",119,"Southern Star Brewing Company","Conroe"," TX","Red Cockaded Ale",1728,0.085,110,"American Double / Imperial IPA",12
"702",119,"Southern Star Brewing Company","Conroe"," TX","Bombshell Blonde",856,0.05,20,"American Blonde Ale",16
"703",119,"Southern Star Brewing Company","Conroe"," TX","Pine Belt Pale Ale",2387,0.065,45,"American Pale Ale (APA)",12
"704",119,"Southern Star Brewing Company","Conroe"," TX","Pine Belt Pale Ale",45,0.065,45,"American Pale Ale (APA)",16
"705",119,"Southern Star Brewing Company","Conroe"," TX","Buried Hatchet Stout",46,0.083,50,"Foreign / Export Stout",12
"707",119,"Southern Star Brewing Company","Conroe"," TX","Le Mort Vivant",1740,0.069,23,"Bière de Garde",12
"708",119,"Southern Star Brewing Company","Conroe"," TX","Bombshell Blonde",44,0.05,20,"American Blonde Ale",12
"709",120,"Steamworks Brewing Company","Durango"," CO","Third Eye Pale Ale",90,0.065,65,"American IPA",12
"710",120,"Steamworks Brewing Company","Durango"," CO","Colorado Kölsch",92,0.049,17,"Kölsch",12
"711",120,"Steamworks Brewing Company","Durango"," CO","Steam Engine Lager",91,0.057,25,"American Amber / Red Lager",12
"712",120,"Steamworks Brewing Company","Durango"," CO","Third Eye Enlightened Pale Ale",2386,0.065,65,"American Pale Ale (APA)",12
"715",121,"Horny Goat Brew Pub","Milwaukee"," WI","Laka Laka Pineapple",2384,0.051,17,"Hefeweizen",12
"716",122,"Cheboygan Brewing Company","Cheboygan"," MI","Blood Orange Honey",2379,0.057,10,"Fruit / Vegetable Beer",16
"717",122,"Cheboygan Brewing Company","Cheboygan"," MI","IPA #11",2380,0.057,58,"American IPA",16
"719",123,"Center of the Universe Brewing C...","Ashland"," VA","Main St. Virginia Ale",1248,0.05,40,"Altbier",12
"720",123,"Center of the Universe Brewing C...","Ashland"," VA","Main St. Virginia Ale",2377,0.05,40,"Altbier",12
"721",123,"Center of the Universe Brewing C...","Ashland"," VA","Ray Ray’s Pale Ale",1247,0.052,42,"American Pale Ale (APA)",12
"722",123,"Center of the Universe Brewing C...","Ashland"," VA","Chin Music Amber Lager",1839,0.045,24,"American Amber / Red Lager",12
"724",125,"Griffin Claw Brewing Company","Birmingham"," MI","Mr. Blue Sky",2375,0.045,6,"American Pale Wheat Ale",16
"725",125,"Griffin Claw Brewing Company","Birmingham"," MI","Grand Trunk Bohemian Pils",2141,0.05,35,"Czech Pilsener",16
"726",125,"Griffin Claw Brewing Company","Birmingham"," MI","Norm's Gateway IPA",2007,0.04,55,"American IPA",12
"727",125,"Griffin Claw Brewing Company","Birmingham"," MI","Grind Line",2138,0.05,35,"American Pale Ale (APA)",16
"728",125,"Griffin Claw Brewing Company","Birmingham"," MI","Screamin’ Pumpkin",2142,0.05,25,"Pumpkin Ale",16
"729",125,"Griffin Claw Brewing Company","Birmingham"," MI","El Rojo",2140,0.065,25,"American Amber / Red Ale",16
"733",126,"Karbach Brewing Company","Houston"," TX","Love Street Summer Seasonal (2014)",1235,0.047,20,"Kölsch",12
"734",126,"Karbach Brewing Company","Houston"," TX","Hopadillo India Pale Ale",463,0.066,70,"American IPA",12
"735",126,"Karbach Brewing Company","Houston"," TX","Barn Burner Saison",1068,0.066,20,"Saison / Farmhouse Ale",12
"736",126,"Karbach Brewing Company","Houston"," TX","Rodeo Clown Double IPA",666,0.095,85,"American Double / Imperial IPA",12
"737",126,"Karbach Brewing Company","Houston"," TX","Weisse Versa",464,0.052,15,"Hefeweizen",12
"738",126,"Karbach Brewing Company","Houston"," TX","Karbachtoberfest",1458,0.055,25,"Märzen / Oktoberfest",12
"739",126,"Karbach Brewing Company","Houston"," TX","Sympathy for the Lager",465,0.049,45,"American Amber / Red Lager",12
"740",126,"Karbach Brewing Company","Houston"," TX","Mother in Lager",1560,0.058,25,"Munich Dunkel Lager",12
"741",126,"Karbach Brewing Company","Houston"," TX","Weekend Warrior Pale Ale",1557,0.055,40,"American Pale Ale (APA)",12
"742",126,"Karbach Brewing Company","Houston"," TX","Weisse Versa (2012)",2374,0.052,16,"Hefeweizen",12
"743",127,"Uncle Billy's Brewery and Smokeh...","Austin"," TX","Humbucker Helles",2367,0.047,25,"Maibock / Helles Bock",16
"744",127,"Uncle Billy's Brewery and Smokeh...","Austin"," TX","The Green Room",2372,0.06,75,"American IPA",16
"745",128,"Deep Ellum Brewing Company","Dallas"," TX","Oak Cliff Coffee Ale",2251,0.075,33,"American Brown Ale",12
"747",128,"Deep Ellum Brewing Company","Dallas"," TX","Farmhouse Wit",1202,0.048,25,"Saison / Farmhouse Ale",16
"749",128,"Deep Ellum Brewing Company","Dallas"," TX","Dream Crusher Double IPA",2166,0.085,100,"American Double / Imperial IPA",12
"752",128,"Deep Ellum Brewing Company","Dallas"," TX","Deep Ellum IPA",943,0.07,70,"American IPA",12
"753",128,"Deep Ellum Brewing Company","Dallas"," TX","Dallas Blonde",946,0.052,23,"American Blonde Ale",12
"754",129,"Real Ale Brewing Company","Blanco"," TX","18th Anniversary Gose",2370,0.044,5,"Gose",12
"755",129,"Real Ale Brewing Company","Blanco"," TX","BLAKKR",1861,0.099,85,"American Black Ale",12
"757",129,"Real Ale Brewing Company","Blanco"," TX","White (2015)",2211,0.046,25,"Witbier",12
"758",129,"Real Ale Brewing Company","Blanco"," TX","Firemans #4 Blonde Ale (2015)",830,0.051,21,"American Blonde Ale",12
"759",129,"Real Ale Brewing Company","Blanco"," TX","Hans' Pils (2015)",1091,0.053,52,"German Pilsener",12
"760",129,"Real Ale Brewing Company","Blanco"," TX","Firemans #4 Blonde Ale (2013)",1718,0.051,21,"American Blonde Ale",12
"761",129,"Real Ale Brewing Company","Blanco"," TX","Four Squared (2015)",1086,0.06,50,"American Blonde Ale",12
"763",130,"Straub Brewery","St Mary's"," PA","American Light",2231,0.032,13,"Light Lager",12
"764",130,"Straub Brewery","St Mary's"," PA","American Lager",2233,0.041,8,"American Adjunct Lager",12
"765",130,"Straub Brewery","St Mary's"," PA","American Amber",2232,0.041,8,"American Amber / Red Lager",12
"767",132,"Stevens Point Brewery","Stevens Point"," WI","Point Nude Beach Summer Wheat (2010)",141,0.05,7,"American Pale Wheat Ale",12
"768",132,"Stevens Point Brewery","Stevens Point"," WI","Onyx Black Ale",2151,0.052,9,"American Black Ale",12
"769",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special (Current)",2366,0.047,9,"American Adjunct Lager",12
"770",132,"Stevens Point Brewery","Stevens Point"," WI","Point Nude Beach Summer Wheat (2011)",772,0.05,7,"American Pale Wheat Ale",12
"771",132,"Stevens Point Brewery","Stevens Point"," WI","Point Oktoberfest",456,0.057,15,"Märzen / Oktoberfest",12
"772",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special (2012)",2121,0.047,9,"American Adjunct Lager",12
"773",132,"Stevens Point Brewery","Stevens Point"," WI","Point Cascade Pale Ale",140,0.054,33,"American Pale Ale (APA)",12
"774",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special",2365,0.047,9,"American Adjunct Lager",12
"776",132,"Stevens Point Brewery","Stevens Point"," WI","Point Amber Classic",139,0.047,14,"American Amber / Red Lager",12
"777",132,"Stevens Point Brewery","Stevens Point"," WI","2012 Black Ale",357,0.054,32,"American Brown Ale",12
"778",132,"Stevens Point Brewery","Stevens Point"," WI","Three Kings Ale",650,0.049,13,"Kölsch",12
"779",132,"Stevens Point Brewery","Stevens Point"," WI","Point Oktoberfest",1357,0.057,15,"Märzen / Oktoberfest",16
"780",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special Lager",2115,0.047,9,"American Adjunct Lager",16
"782",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special (2013)",2122,0.047,9,"American Adjunct Lager",12
"783",132,"Stevens Point Brewery","Stevens Point"," WI","Beyond The Pale IPA",2150,0.063,64,"American IPA",12
"784",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special Lager",138,0.047,9,"American Adjunct Lager",12
"785",132,"Stevens Point Brewery","Stevens Point"," WI","Point Cascade Pale Ale (2013)",2270,0.054,33,"American Pale Ale (APA)",12
"786",132,"Stevens Point Brewery","Stevens Point"," WI","Point Nude Beach Summer Wheat",1225,0.052,7,"American Pale Wheat Ale",16
"787",132,"Stevens Point Brewery","Stevens Point"," WI","Point Nude Beach Summer Wheat",816,0.05,7,"American Pale Wheat Ale",12
"788",132,"Stevens Point Brewery","Stevens Point"," WI","Point Special",2228,0.047,9,"American Adjunct Lager",12
"792",133,"Weston Brewing Company","Weston"," MO","O’Malley’s IPA",2343,0.075,89,"American IPA",12
"793",133,"Weston Brewing Company","Weston"," MO","L'il Lucy's Hot Pepper Ale",2341,0.049,28,"Chile Beer",12
"796",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Suzy B Dirty Blonde Ale",1118,0.05,20,"American Blonde Ale",16
"797",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Hipster Breakfast",1120,0.058,40,"Oatmeal Stout",16
"798",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Sinister Minister Black IPA",2346,0.077,65,"American IPA",16
"799",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Mississippi Fire Ant",1745,0.08,80,"American Amber / Red Ale",16
"800",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Devil's Harvest Extra Pale Ale",1117,0.058,60,"American Pale Ale (APA)",16
"801",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Jack the Sipper",2320,0.053,45,"Extra Special / Strong Bitter (ESB)",12
"802",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Devil's Harvest Extra Pale Ale",2297,0.058,60,"American Pale Ale (APA)",12
"803",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","Suzy B Dirty Blonde Ale",2296,0.05,20,"American Blonde Ale",12
"804",134,"Southern Prohibition Brewing Com...","Hattiesburg"," MS","2014 IPA Cicada Series",2362,0.075,72,"American IPA",16
"818",136,"Pug Ryan's Brewery","Dillon"," CO","Dead Eye Dunkel",1462,0.06,15,"Munich Dunkel Lager",12
"819",136,"Pug Ryan's Brewery","Dillon"," CO","Morning Wood Wheat (Current)",2360,0.059,14,"American Pale Wheat Ale",12
"820",136,"Pug Ryan's Brewery","Dillon"," CO","Morning Wood Wheat (Current)",130,0.059,14,"American Pale Wheat Ale",12
"821",136,"Pug Ryan's Brewery","Dillon"," CO","Hideout Helles",1463,0.069,17,"Munich Helles Lager",12
"822",136,"Pug Ryan's Brewery","Dillon"," CO","Peacemaker Pilsner",1461,0.058,21,"Czech Pilsener",12
"823",136,"Pug Ryan's Brewery","Dillon"," CO","Over the Rail Pale Ale",711,0.057,68,"American Pale Ale (APA)",12
"824",136,"Pug Ryan's Brewery","Dillon"," CO","Pallavicini Pilsner (2009)",188,0.058,21,"Czech Pilsener",12
"827",139,"Summit Brewing Company","St Paul"," MN","Extra Pale Ale",2352,0.053,49,"American Pale Ale (APA)",12
"832",141,"Independence Brewing Company","Austin"," TX","Power & Light",2301,0.055,42,"American Pale Ale (APA)",12
"833",141,"Independence Brewing Company","Austin"," TX","White Rabbit ",1904,0.059,27,"Witbier",12
"834",141,"Independence Brewing Company","Austin"," TX","Oklahoma Suks",2350,0.048,32,"American Amber / Red Ale",12
"835",142,"Cigar City Brewing Company","Tampa"," FL","Florida Cracker Belgian Wit",545,0.05,18,"Witbier",12
"838",142,"Cigar City Brewing Company","Tampa"," FL","Hopped on the High Seas (Citra)",1693,0.07,60,"American IPA",12
"839",142,"Cigar City Brewing Company","Tampa"," FL","Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,"American IPA",12
"840",142,"Cigar City Brewing Company","Tampa"," FL","Humidor Series India Pale Ale",1142,0.075,70,"American IPA",12
"841",142,"Cigar City Brewing Company","Tampa"," FL","Hopped on the High Seas (Calypso)",1725,0.07,60,"American IPA",12
"843",142,"Cigar City Brewing Company","Tampa"," FL","Jai Alai IPA Aged on White Oak",1141,0.075,70,"American IPA",12
"844",142,"Cigar City Brewing Company","Tampa"," FL","José Martí American Porter",1140,0.08,65,"American Porter",12
"846",142,"Cigar City Brewing Company","Tampa"," FL","Tocobaga Red Ale",569,0.072,75,"American Amber / Red Ale",12
"849",142,"Cigar City Brewing Company","Tampa"," FL","Wandering Pelican",2013,0.082,65,"American Black Ale",12
"850",142,"Cigar City Brewing Company","Tampa"," FL","Maduro Brown Ale",571,0.055,25,"American Brown Ale",12
"852",142,"Cigar City Brewing Company","Tampa"," FL","Operation Homefront",2014,0.062,65,"American IPA",12
"853",142,"Cigar City Brewing Company","Tampa"," FL","Maduro Brown Ale",1138,0.055,25,"English Brown Ale",12
"855",142,"Cigar City Brewing Company","Tampa"," FL","Cubano Espresso",2349,0.055,25,"Bock",12
"856",142,"Cigar City Brewing Company","Tampa"," FL","Jai Alai IPA",546,0.075,70,"American IPA",12
"858",142,"Cigar City Brewing Company","Tampa"," FL","Hopped on the High Seas (Ahtanum)",1692,0.07,60,"American IPA",12
"859",142,"Cigar City Brewing Company","Tampa"," FL","Hopped on the High Seas (Hop #529)",1726,0.07,60,"American IPA",12
"860",143,"Third Street Brewhouse","Cold Spring"," MN","Hunny Do Wheat",2347,0.048,18,"American Pale Wheat Ale",12
"864",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Bohemian Pilsner",1291,0.086,35,"German Pilsener",16
"865",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Porter",316,0.07,22,"American Porter",16
"866",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Summer Ale",1093,0.042,24,"American Pale Wheat Ale",12
"867",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Cream Ale",580,0.05,22,"Cream Ale",16
"868",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Summer Ale",403,0.042,24,"American Pale Wheat Ale",16
"869",144,"Narragansett Brewing Company","Providence"," RI","Bohemian Pils",2224,0.052,30,"American Pilsner",16
"870",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Fest Lager",314,0.055,15,"Märzen / Oktoberfest",16
"871",144,"Narragansett Brewing Company","Providence"," RI","Narragansett Bock",315,0.065,32,"Bock",16
"872",144,"Narragansett Brewing Company","Providence"," RI","Autocrat Coffee Milk Stout",1775,0.053,30,"Milk / Sweet Stout",16
"873",144,"Narragansett Brewing Company","Providence"," RI","Gansett Light",2345,0.037,10,"Light Lager",16
"874",145,"Grimm Brothers Brewhouse","Loveland"," CO","Little Red Cap",2339,0.063,43,"Altbier",12
"886",149,"Odyssey Beerwerks","Arvada"," CO","Perpetual Darkness",2335,0.092,72,"Belgian Strong Dark Ale",12
"887",149,"Odyssey Beerwerks","Arvada"," CO","Psycho Penguin Vanilla Porter",2333,0.054,36,"American Porter",12
"889",149,"Odyssey Beerwerks","Arvada"," CO","Clan Warrior",2334,0.087,29,"Scotch Ale / Wee Heavy",12
"892",150,"Lonerider Brewing Company","Raleigh"," NC","Shotgun Betty",2327,0.058,11,"Hefeweizen",12
"893",150,"Lonerider Brewing Company","Raleigh"," NC","Peacemaker Pale Ale",2329,0.057,47,"American Pale Ale (APA)",12
"894",150,"Lonerider Brewing Company","Raleigh"," NC","Sweet Josie",2326,0.061,30,"American Brown Ale",12
"896",151,"Oakshire Brewing","Eugene"," OR","Oakshire Amber Ale",1669,0.054,24,"American Amber / Red Ale",12
"897",151,"Oakshire Brewing","Eugene"," OR","Overcast Espresso Stout",1668,0.058,27,"American Stout",12
"898",151,"Oakshire Brewing","Eugene"," OR","Watershed IPA",2331,0.067,70,"American IPA",12
"899",151,"Oakshire Brewing","Eugene"," OR","Watershed IPA (2013)",999,0.067,70,"American IPA",12
"902",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Tin Roof Watermelon Wheat",1428,0.05,21,"Fruit / Vegetable Beer",12
"903",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Parade Ground Coffee Porter",1754,0.07,35,"American Porter",12
"904",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Juke Joint IPA",1755,0.07,60,"American IPA",12
"905",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Voodoo Bengal Pale Ale",495,0.055,37,"American Pale Ale (APA)",12
"906",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Tin Roof Blonde Ale",529,0.045,18,"American Blonde Ale",12
"907",153,"Tin Roof Brewing Company","Baton Rouge"," LA","Perfect Tin Amber",494,0.045,28,"American Amber / Red Ale",12
"908",154,"Three Creeks Brewing","Sisters"," OR","Knotty Blonde Ale",2319,0.04,18,"American Blonde Ale",12
"909",154,"Three Creeks Brewing","Sisters"," OR","Fivepine Chocolate Porter",2317,0.062,40,"American Porter",12
"910",154,"Three Creeks Brewing","Sisters"," OR","Hoodoo Voodoo IPA",2316,0.062,82,"American IPA",12
"915",156,"Caldera Brewing Company","Ashland"," OR","Caldera IPA (2007)",792,0.061,94,"American IPA",12
"916",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale (2011)",38,0.056,55,"American Pale Ale (APA)",12
"917",156,"Caldera Brewing Company","Ashland"," OR","Caldera IPA",36,0.061,94,"American IPA",12
"918",156,"Caldera Brewing Company","Ashland"," OR","Lawnmower Lager",878,0.039,16,"American Adjunct Lager",12
"919",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale (2007)",788,0.056,55,"American Pale Ale (APA)",12
"920",156,"Caldera Brewing Company","Ashland"," OR","Caldera IPA (2009)",793,0.061,94,"American IPA",12
"922",156,"Caldera Brewing Company","Ashland"," OR","Hopportunity Knocks IPA",2315,0.068,100,"American IPA",12
"923",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale (2010)",791,0.056,55,"American Pale Ale (APA)",12
"924",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale",1419,0.056,55,"American Pale Ale (APA)",12
"925",156,"Caldera Brewing Company","Ashland"," OR","Ashland Amber Ale (2009)",794,0.054,24,"American Amber / Red Ale",12
"926",156,"Caldera Brewing Company","Ashland"," OR","Ashland Amber Ale",37,0.054,24,"American Amber / Red Ale",12
"927",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale (2009)",790,0.056,55,"American Pale Ale (APA)",12
"928",156,"Caldera Brewing Company","Ashland"," OR","Caldera Pale Ale (2005)",789,0.056,55,"American Pale Ale (APA)",12
"929",157,"Greenbrier Valley Brewing Company","Lewisburg"," WV","Wild Trail Pale Ale",2314,0.057,44,"American Pale Ale (APA)",12
"930",157,"Greenbrier Valley Brewing Company","Lewisburg"," WV","Mothman Black IPA",2313,0.067,71,"American Black Ale",12
"931",158,"Phoenix Ale Brewery","Phoenix"," AZ","Camelback",2312,0.061,60,"American IPA",12
"935",159,"Lumberyard Brewing Company","Flagstaff"," AZ","Lumberyard Pilsner",1153,0.053,20,"American Pilsner",12
"936",160,"Uinta Brewing Company","Salt Lake City"," UT","Hop Notch IPA (2013)",1089,0.073,82,"American IPA",12
"937",160,"Uinta Brewing Company","Salt Lake City"," UT","WYLD Extra Pale Ale",974,0.04,29,"American Pale Ale (APA)",12
"938",160,"Uinta Brewing Company","Salt Lake City"," UT","Organic Baba Black Lager",1097,0.04,32,"Schwarzbier",12
"939",160,"Uinta Brewing Company","Salt Lake City"," UT","PUNK'N",2310,0.05,10,"Pumpkin Ale",12
"940",160,"Uinta Brewing Company","Salt Lake City"," UT","Hop Nosh IPA",1723,0.073,83,"American IPA",12
"941",160,"Uinta Brewing Company","Salt Lake City"," UT","SUM'R",1212,0.04,17,"American Blonde Ale",12
"942",160,"Uinta Brewing Company","Salt Lake City"," UT","Trader Session IPA",1925,0.04,42,"American IPA",12
"943",160,"Uinta Brewing Company","Salt Lake City"," UT","Cutthroat Pale Ale",1088,0.04,34,"American Pale Ale (APA)",12
"944",160,"Uinta Brewing Company","Salt Lake City"," UT","Yard Sale Winter Lager",2100,0.04,22,"American Amber / Red Lager",12
"945",161,"Four Peaks Brewing Company","Tempe"," AZ","Kilt Lifter Scottish-Style Ale",1635,0.06,21,"",12
"947",161,"Four Peaks Brewing Company","Tempe"," AZ","Hop Knot IPA",358,0.067,47,"American IPA",12
"949",161,"Four Peaks Brewing Company","Tempe"," AZ","Four Peaks Peach Ale",1585,0.042,9,"Fruit / Vegetable Beer",12
"950",161,"Four Peaks Brewing Company","Tempe"," AZ","Kilt Lifter Scottish-Style Ale (2009)",179,0.06,21,"Scottish Ale",12
"951",161,"Four Peaks Brewing Company","Tempe"," AZ","Sunbru Kölsch",2309,0.052,17,"Kölsch",12
"953",162,"Martin House Brewing Company","Fort Worth"," TX","River House",2308,0.05,20,"Saison / Farmhouse Ale",16
"957",162,"Martin House Brewing Company","Fort Worth"," TX","Pretzel Stout",2268,0.065,47,"American Stout",16
"959",162,"Martin House Brewing Company","Fort Worth"," TX","Rubberneck Red",2197,0.05,35,"American Amber / Red Ale",16
"961",164,"Sly Fox Brewing Company","Phoenixville"," PA","Homefront IPA",2305,0.06,70,"American IPA",12
"962",165,"Round Guys Brewing","Lansdale"," PA","Sundown",2304,0.071,36,"Saison / Farmhouse Ale",12
"965",165,"Round Guys Brewing","Lansdale"," PA","Dog Days Summer Ale",1552,0.045,28,"Kölsch",12
"966",165,"Round Guys Brewing","Lansdale"," PA","Original Slacker Ale",1842,0.056,40,"English Brown Ale",12
"969",166,"Great Crescent Brewery","Aurora"," IN","Aurora Lager (2011)",626,0.057,27,"Dortmunder / Export Lager",16
"970",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Mild Ale",439,0.042,26,"English Dark Mild Ale",16
"971",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Brown Ale",649,0.045,36,"American Brown Ale",16
"972",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Oktoberfest Lager",930,0.057,25,"Märzen / Oktoberfest",16
"973",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent IPA",1701,0.062,60,"American IPA",16
"974",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent IPA (2011)",436,0.062,60,"American IPA",16
"975",166,"Great Crescent Brewery","Aurora"," IN","Cherry Ale",1990,0.057,18,"Fruit / Vegetable Beer",16
"976",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Blonde Ale",1699,0.053,22,"American Blonde Ale",16
"977",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Stout",442,0.08,66,"English Stout",16
"978",166,"Great Crescent Brewery","Aurora"," IN","Cherry Ale (1)",639,0.057,18,"Fruit / Vegetable Beer",16
"979",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Coconut Porter",1269,0.056,33,"American Porter",16
"980",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Belgian Style Wit",478,0.051,13,"Witbier",16
"981",166,"Great Crescent Brewery","Aurora"," IN","Frosted Fields Winter Wheat",615,0.06,25,"American Dark Wheat Ale",16
"982",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Blonde Ale (2011)",389,0.053,22,"American Blonde Ale",16
"983",166,"Great Crescent Brewery","Aurora"," IN","Beer Agent Re-Ignition",2303,0.053,22,"American Blonde Ale",16
"984",166,"Great Crescent Brewery","Aurora"," IN","Bourbon Barrel Aged Coconut Porter",1702,0.056,33,"American Porter",16
"985",166,"Great Crescent Brewery","Aurora"," IN","Bourbon's Barrel Stout",455,0.075,65,"American Stout",16
"986",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Coconut Porter (2012)",441,0.056,33,"American Porter",16
"987",166,"Great Crescent Brewery","Aurora"," IN","Aurora Lager",1700,0.057,27,"Dortmunder / Export Lager",16
"988",166,"Great Crescent Brewery","Aurora"," IN","Great Crescent Dark Lager",440,0.057,23,"Euro Dark Lager",16
"989",167,"Oskar Blues Brewery","Longmont"," CO","Mama's Little Yella Pils",1167,0.053,35,"Czech Pilsener",19.2
"992",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale",1444,0.065,65,"American Pale Ale (APA)",12
"996",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale",1252,0.065,65,"American Pale Ale (APA)",12
"998",167,"Oskar Blues Brewery","Longmont"," CO","Pinner Throwback IPA",2302,0.049,35,"American IPA",12
"999",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale (10 Year Anniversary)",892,0.065,65,"American Pale Ale (APA)",12
"1000",167,"Oskar Blues Brewery","Longmont"," CO","Mama's Little Yella Pils",7,0.053,35,"Czech Pilsener",12
"1004",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale (2010)",754,0.065,65,"American Pale Ale (APA)",12
"1005",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale (2011)",755,0.065,65,"American Pale Ale (APA)",12
"1006",167,"Oskar Blues Brewery","Longmont"," CO","HGH (Home Grown Hops): Part Duh",585,0.08,70,"American Strong Ale",12
"1007",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale",955,0.065,65,"American Pale Ale (APA)",19.2
"1008",167,"Oskar Blues Brewery","Longmont"," CO","Old Chub",5,0.08,35,"Scottish Ale",12
"1010",167,"Oskar Blues Brewery","Longmont"," CO","G'KNIGHT (12 oz.)",388,0.087,85,"American Double / Imperial IPA",12
"1012",167,"Oskar Blues Brewery","Longmont"," CO","Ten Fidy Imperial Stout",8,0.099,98,"Russian Imperial Stout",12
"1013",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale",1,0.065,65,"American Pale Ale (APA)",12
"1014",167,"Oskar Blues Brewery","Longmont"," CO","Gordon Ale (2009)",4,0.087,85,"American Double / Imperial IPA",12
"1016",167,"Oskar Blues Brewery","Longmont"," CO","GUBNA Imperial IPA",6,0.099,100,"American Double / Imperial IPA",12
"1018",167,"Oskar Blues Brewery","Longmont"," CO","G'KNIGHT (16 oz.)",726,0.087,85,"American Double / Imperial IPA",16
"1019",167,"Oskar Blues Brewery","Longmont"," CO","Dale's Pale Ale (2012)",828,0.065,65,"American Pale Ale (APA)",12
"1020",167,"Oskar Blues Brewery","Longmont"," CO","Gordon Imperial Red (2010)",806,0.087,85,"American Double / Imperial IPA",12
